"Date","Price","Open","High","Low","Change %"
"Mar 06, 2020","1,673.85","1,670.58","1,692.10","1,648.12","0.21%"
"Mar 09, 2020","1,679.60","1,694.40","1,702.96","1,657.74","0.34%"
"Mar 10, 2020","1,649.07","1,679.10","1,680.53","1,642.15","-1.82%"
"Mar 11, 2020","1,634.53","1,649.69","1,671.13","1,632.97","-0.88%"
"Mar 12, 2020","1,576.79","1,634.80","1,650.47","1,561.01","-3.53%"
"Mar 13, 2020","1,529.31","1,576.95","1,597.72","1,506.86","-3.01%"
"Mar 16, 2020","1,513.91","1,550.55","1,573.49","1,451.50","-1.01%"
"Mar 17, 2020","1,528.28","1,512.45","1,553.26","1,465.81","0.95%"
"Mar 18, 2020","1,486.00","1,527.70","1,546.22","1,472.86","-2.77%"
"Mar 19, 2020","1,469.80","1,485.90","1,501.05","1,464.18","-1.09%"
"Mar 20, 2020","1,497.64","1,470.54","1,516.25","1,460.30","1.89%"
"Mar 23, 2020","1,553.06","1,508.15","1,561.48","1,485.10","3.70%"
"Mar 24, 2020","1,610.03","1,553.71","1,638.72","1,553.41","3.67%"
"Mar 25, 2020","1,613.29","1,628.19","1,643.05","1,587.20","0.20%"
"Mar 26, 2020","1,628.97","1,617.25","1,647.28","1,595.84","0.97%"
"Mar 27, 2020","1,617.50","1,632.38","1,637.86","1,612.22","-0.70%"
"Mar 30, 2020","1,621.93","1,622.00","1,639.61","1,608.72","0.27%"
"Mar 31, 2020","1,571.05","1,618.49","1,626.27","1,566.23","-3.14%"
"Apr 01, 2020","1,590.59","1,571.00","1,603.41","1,566.97","1.24%"
"Apr 02, 2020","1,612.41","1,590.52","1,621.15","1,579.04","1.37%"
"Apr 03, 2020","1,616.45","1,615.09","1,626.07","1,606.30","0.25%"
"Apr 06, 2020","1,661.70","1,597.50","1,669.97","1,597.50","2.80%"
"Apr 07, 2020","1,648.47","1,663.03","1,673.55","1,641.89","-0.80%"
"Apr 08, 2020","1,645.77","1,647.59","1,657.69","1,641.94","-0.16%"
"Apr 09, 2020","1,683.82","1,646.08","1,691.17","1,643.10","2.31%"
"Apr 10, 2020","1,688.90","1,676.00","1,697.50","1,676.00","0.30%"
"Apr 13, 2020","1,714.07","1,685.69","1,723.88","1,674.87","1.49%"
"Apr 14, 2020","1,727.70","1,712.34","1,747.85","1,708.55","0.80%"
"Apr 15, 2020","1,715.71","1,728.80","1,732.27","1,707.71","-0.69%"
"Apr 16, 2020","1,717.68","1,716.46","1,739.17","1,707.88","0.11%"
"Apr 17, 2020","1,684.19","1,715.99","1,719.12","1,679.37","-1.95%"
"Apr 20, 2020","1,692.92","1,692.25","1,703.46","1,671.49","0.52%"
"Apr 21, 2020","1,685.72","1,694.11","1,698.60","1,661.39","-0.43%"
"Apr 22, 2020","1,713.45","1,687.10","1,719.65","1,680.09","1.64%"
"Apr 23, 2020","1,731.33","1,713.56","1,739.74","1,706.26","1.04%"
"Apr 24, 2020","1,727.43","1,731.57","1,737.44","1,710.21","-0.23%"
"Apr 27, 2020","1,714.20","1,726.15","1,727.93","1,705.68","-0.77%"
"Apr 28, 2020","1,707.51","1,715.31","1,716.04","1,691.63","-0.39%"
"Apr 29, 2020","1,711.25","1,708.30","1,717.76","1,697.55","0.22%"
"Apr 30, 2020","1,680.09","1,712.27","1,723.17","1,680.64","-1.82%"
"May 01, 2020","1,699.12","1,685.95","1,706.53","1,670.06","1.13%"
"May 04, 2020","1,701.44","1,699.00","1,712.57","1,691.84","0.14%"
"May 05, 2020","1,705.96","1,700.82","1,712.90","1,691.45","0.27%"
"May 06, 2020","1,685.63","1,707.51","1,709.34","1,682.28","-1.19%"
"May 07, 2020","1,717.69","1,686.08","1,723.06","1,683.50","1.90%"
"May 08, 2020","1,700.65","1,717.46","1,723.91","1,701.06","-0.99%"
"May 11, 2020","1,695.98","1,702.65","1,712.64","1,691.59","-0.27%"
"May 12, 2020","1,702.14","1,697.04","1,711.79","1,693.17","0.36%"
"May 13, 2020","1,715.29","1,702.50","1,719.02","1,698.81","0.77%"
"May 14, 2020","1,729.27","1,715.63","1,737.41","1,710.51","0.82%"
"May 15, 2020","1,741.00","1,730.52","1,752.13","1,727.93","0.68%"
"May 18, 2020","1,732.07","1,743.01","1,765.94","1,727.20","-0.51%"
"May 19, 2020","1,743.81","1,732.31","1,748.76","1,725.66","0.68%"
"May 20, 2020","1,748.98","1,745.92","1,754.77","1,741.89","0.30%"
"May 21, 2020","1,725.21","1,749.52","1,751.01","1,717.10","-1.36%"
"May 22, 2020","1,734.07","1,725.26","1,740.07","1,723.62","0.51%"
"May 25, 2020","1,729.19","1,734.61","1,736.01","1,721.45","-0.28%"
"May 26, 2020","1,711.25","1,728.82","1,736.07","1,708.30","-1.04%"
"May 27, 2020","1,708.87","1,712.47","1,716.37","1,693.82","-0.14%"
"May 28, 2020","1,718.50","1,709.04","1,727.52","1,707.11","0.56%"
"May 29, 2020","1,726.30","1,721.70","1,737.71","1,712.53","0.45%"
"Jun 01, 2020","1,740.00","1,738.05","1,744.84","1,727.26","0.79%"
"Jun 02, 2020","1,727.05","1,740.34","1,745.26","1,721.40","-0.74%"
"Jun 03, 2020","1,697.51","1,728.10","1,733.80","1,689.54","-1.71%"
"Jun 04, 2020","1,710.62","1,699.89","1,721.62","1,696.90","0.77%"
"Jun 05, 2020","1,685.23","1,711.81","1,717.25","1,670.74","-1.48%"
"Jun 08, 2020","1,694.60","1,684.65","1,700.90","1,677.52","0.56%"
"Jun 09, 2020","1,714.32","1,700.49","1,721.04","1,692.20","1.16%"
"Jun 10, 2020","1,736.24","1,714.80","1,740.06","1,708.47","1.28%"
"Jun 11, 2020","1,727.15","1,737.01","1,744.92","1,721.58","-0.52%"
"Jun 12, 2020","1,729.77","1,728.34","1,743.16","1,722.57","0.15%"
"Jun 15, 2020","1,724.61","1,732.32","1,734.53","1,704.31","-0.30%"
"Jun 16, 2020","1,726.96","1,725.55","1,733.12","1,716.43","0.14%"
"Jun 17, 2020","1,726.29","1,727.71","1,730.41","1,713.22","-0.04%"
"Jun 18, 2020","1,722.62","1,726.30","1,737.17","1,717.57","-0.21%"
"Jun 19, 2020","1,742.84","1,723.69","1,745.36","1,721.18","1.17%"
"Jun 22, 2020","1,754.46","1,748.78","1,763.42","1,743.27","0.67%"
"Jun 23, 2020","1,766.51","1,755.26","1,771.25","1,747.43","0.69%"
"Jun 24, 2020","1,761.43","1,768.99","1,779.61","1,760.80","-0.29%"
"Jun 25, 2020","1,761.49","1,760.32","1,769.04","1,755.49","0.00%"
"Jun 26, 2020","1,770.62","1,761.82","1,772.12","1,747.67","0.52%"
"Jun 29, 2020","1,771.49","1,773.74","1,775.72","1,765.78","0.05%"
"Jun 30, 2020","1,780.67","1,771.90","1,786.02","1,765.35","0.52%"
"Jul 01, 2020","1,770.01","1,781.60","1,789.48","1,759.27","-0.60%"
"Jul 02, 2020","1,775.14","1,769.60","1,779.83","1,757.68","0.29%"
"Jul 03, 2020","1,774.79","1,774.77","1,777.43","1,772.48","-0.02%"
"Jul 06, 2020","1,783.56","1,776.31","1,787.09","1,770.13","0.49%"
"Jul 07, 2020","1,794.26","1,783.91","1,797.59","1,773.79","0.60%"
"Jul 08, 2020","1,810.12","1,795.27","1,818.13","1,791.62","0.88%"
"Jul 09, 2020","1,802.82","1,811.30","1,816.26","1,795.82","-0.40%"
"Jul 10, 2020","1,798.31","1,802.13","1,810.76","1,794.28","-0.25%"
"Jul 13, 2020","1,802.71","1,799.01","1,813.45","1,798.01","0.24%"
"Jul 14, 2020","1,807.53","1,803.19","1,811.03","1,791.46","0.27%"
"Jul 15, 2020","1,811.31","1,807.80","1,814.79","1,802.72","0.21%"
"Jul 16, 2020","1,796.63","1,811.90","1,813.74","1,795.02","-0.81%"
"Jul 17, 2020","1,808.90","1,797.30","1,812.03","1,795.11","0.68%"
"Jul 20, 2020","1,815.40","1,809.58","1,820.73","1,805.60","0.36%"
"Jul 21, 2020","1,841.58","1,815.89","1,843.89","1,815.57","1.44%"
"Jul 22, 2020","1,871.75","1,842.20","1,872.64","1,840.75","1.64%"
"Jul 23, 2020","1,886.86","1,872.39","1,898.40","1,862.80","0.81%"
"Jul 24, 2020","1,900.97","1,887.34","1,906.54","1,881.56","0.75%"
"Jul 27, 2020","1,941.88","1,899.99","1,945.71","1,899.73","2.15%"
"Jul 28, 2020","1,958.93","1,942.64","1,981.22","1,907.70","0.88%"
"Jul 29, 2020","1,970.37","1,959.60","1,980.80","1,944.97","0.58%"
"Jul 30, 2020","1,959.50","1,970.90","1,971.87","1,939.67","-0.55%"
"Jul 31, 2020","1,974.69","1,960.51","1,980.45","1,955.40","0.78%"
"Aug 03, 2020","1,976.70","1,980.98","1,985.28","1,960.40","0.10%"
"Aug 04, 2020","2,018.07","1,976.99","2,019.88","1,968.50","2.09%"
"Aug 05, 2020","2,039.40","2,018.98","2,055.68","2,009.77","1.06%"
"Aug 06, 2020","2,063.19","2,040.40","2,069.77","2,034.71","1.17%"
"Aug 07, 2020","2,034.62","2,065.11","2,073.41","2,015.55","-1.38%"
"Aug 10, 2020","2,027.26","2,034.19","2,050.01","2,019.41","-0.36%"
"Aug 11, 2020","1,911.25","2,027.34","2,032.19","1,901.69","-5.72%"
"Aug 12, 2020","1,917.82","1,912.00","1,949.45","1,864.30","0.34%"
"Aug 13, 2020","1,953.03","1,920.90","1,966.43","1,912.93","1.84%"
"Aug 14, 2020","1,943.76","1,953.70","1,962.84","1,932.65","-0.48%"
"Aug 17, 2020","1,985.53","1,947.04","1,990.65","1,929.74","2.15%"
"Aug 18, 2020","2,000.95","1,985.89","2,015.45","1,977.84","0.78%"
"Aug 19, 2020","1,929.54","2,001.19","2,006.68","1,924.82","-3.57%"
"Aug 20, 2020","1,942.60","1,929.53","1,955.44","1,925.12","0.68%"
"Aug 21, 2020","1,939.40","1,947.44","1,956.08","1,911.65","-0.16%"
"Aug 24, 2020","1,932.45","1,939.24","1,961.89","1,924.01","-0.36%"
"Aug 25, 2020","1,927.94","1,933.06","1,937.69","1,914.42","-0.23%"
"Aug 26, 2020","1,953.45","1,929.07","1,954.98","1,902.77","1.32%"
"Aug 27, 2020","1,928.91","1,953.31","1,976.60","1,910.22","-1.26%"
"Aug 28, 2020","1,964.49","1,930.04","1,973.91","1,923.70","1.84%"
"Aug 31, 2020","1,969.75","1,965.40","1,976.47","1,954.58","0.27%"
"Sep 01, 2020","1,970.14","1,967.63","1,992.38","1,963.20","0.02%"
"Sep 02, 2020","1,942.62","1,969.75","1,974.45","1,932.76","-1.40%"
"Sep 03, 2020","1,930.52","1,943.06","1,951.19","1,921.99","-0.62%"
"Sep 04, 2020","1,932.45","1,931.51","1,942.25","1,916.67","0.10%"
"Sep 07, 2020","1,928.82","1,931.24","1,941.44","1,924.57","-0.19%"
"Sep 08, 2020","1,930.93","1,930.05","1,940.84","1,906.67","0.11%"
"Sep 09, 2020","1,946.66","1,932.26","1,950.95","1,920.20","0.81%"
"Sep 10, 2020","1,954.07","1,946.06","1,966.50","1,941.42","0.38%"
"Sep 11, 2020","1,941.50","1,955.20","1,957.95","1,937.42","-0.64%"
"Sep 14, 2020","1,956.37","1,941.05","1,962.52","1,937.46","0.77%"
"Sep 15, 2020","1,955.52","1,957.31","1,972.35","1,948.64","-0.04%"
"Sep 16, 2020","1,959.32","1,956.19","1,973.63","1,949.89","0.19%"
"Sep 17, 2020","1,942.60","1,959.99","1,963.48","1,932.99","-0.85%"
"Sep 18, 2020","1,949.69","1,943.87","1,960.20","1,941.79","0.37%"
"Sep 21, 2020","1,912.57","1,949.55","1,955.75","1,883.21","-1.90%"
"Sep 22, 2020","1,899.28","1,912.80","1,919.99","1,894.93","-0.69%"
"Sep 23, 2020","1,863.55","1,900.20","1,905.56","1,855.77","-1.88%"
"Sep 24, 2020","1,868.04","1,863.42","1,877.30","1,848.45","0.24%"
"Sep 25, 2020","1,860.05","1,868.61","1,875.28","1,852.59","-0.43%"
"Sep 28, 2020","1,880.85","1,859.00","1,883.39","1,849.19","1.12%"
"Sep 29, 2020","1,897.69","1,881.40","1,899.24","1,875.56","0.90%"
"Sep 30, 2020","1,885.44","1,897.81","1,902.39","1,881.31","-0.65%"
"Oct 01, 2020","1,905.05","1,885.80","1,912.09","1,884.48","1.04%"
"Oct 02, 2020","1,898.70","1,905.65","1,917.28","1,889.57","-0.33%"
"Oct 05, 2020","1,912.90","1,902.24","1,918.74","1,886.81","0.75%"
"Oct 06, 2020","1,877.13","1,913.28","1,921.10","1,874.57","-1.87%"
"Oct 07, 2020","1,887.22","1,878.84","1,898.31","1,873.05","0.54%"
"Oct 08, 2020","1,893.09","1,887.40","1,900.73","1,881.86","0.31%"
"Oct 09, 2020","1,929.43","1,894.19","1,930.83","1,893.32","1.92%"
"Oct 12, 2020","1,921.95","1,930.50","1,933.45","1,918.19","-0.39%"
"Oct 13, 2020","1,890.82","1,922.42","1,925.73","1,886.59","-1.62%"
"Oct 14, 2020","1,900.89","1,891.90","1,913.03","1,882.44","0.53%"
"Oct 15, 2020","1,907.82","1,900.31","1,909.22","1,889.46","0.36%"
"Oct 16, 2020","1,898.97","1,907.95","1,914.06","1,897.59","-0.46%"
"Oct 19, 2020","1,904.27","1,899.94","1,918.59","1,897.09","0.28%"
"Oct 20, 2020","1,906.39","1,904.24","1,914.20","1,894.74","0.11%"
"Oct 21, 2020","1,924.49","1,908.65","1,931.41","1,907.94","0.95%"
"Oct 22, 2020","1,904.04","1,924.34","1,926.00","1,894.80","-1.06%"
"Oct 23, 2020","1,900.79","1,904.24","1,914.30","1,894.54","-0.17%"
"Oct 26, 2020","1,901.69","1,902.34","1,908.55","1,890.90","0.05%"
"Oct 27, 2020","1,906.83","1,902.19","1,911.34","1,897.47","0.27%"
"Oct 28, 2020","1,877.06","1,908.05","1,911.03","1,869.59","-1.56%"
"Oct 29, 2020","1,867.13","1,876.94","1,885.42","1,859.67","-0.53%"
"Oct 30, 2020","1,877.95","1,868.24","1,889.85","1,864.64","0.58%"
"Nov 02, 2020","1,895.10","1,878.59","1,896.12","1,873.21","0.91%"
"Nov 03, 2020","1,908.36","1,895.80","1,910.71","1,886.81","0.70%"
"Nov 04, 2020","1,903.21","1,908.59","1,916.68","1,883.15","-0.27%"
"Nov 05, 2020","1,948.56","1,903.65","1,952.95","1,902.43","2.38%"
"Nov 06, 2020","1,951.51","1,949.24","1,960.77","1,935.40","0.15%"
"Nov 09, 2020","1,861.86","1,954.65","1,965.92","1,850.36","-4.59%"
"Nov 10, 2020","1,876.50","1,862.15","1,890.60","1,860.30","0.79%"
"Nov 11, 2020","1,864.71","1,877.34","1,884.93","1,856.05","-0.63%"
"Nov 12, 2020","1,875.76","1,865.30","1,883.88","1,862.46","0.59%"
"Nov 13, 2020","1,888.04","1,876.44","1,897.16","1,873.76","0.65%"
"Nov 16, 2020","1,888.52","1,888.74","1,899.35","1,864.74","0.03%"
"Nov 17, 2020","1,878.60","1,889.15","1,893.90","1,877.69","-0.52%"
"Nov 18, 2020","1,871.41","1,878.60","1,884.92","1,863.94","-0.38%"
"Nov 19, 2020","1,867.37","1,871.44","1,874.34","1,852.48","-0.22%"
"Nov 20, 2020","1,870.49","1,867.59","1,879.98","1,860.66","0.17%"
"Nov 23, 2020","1,835.85","1,869.84","1,876.72","1,830.85","-1.85%"
"Nov 24, 2020","1,807.51","1,836.65","1,839.26","1,800.69","-1.54%"
"Nov 25, 2020","1,805.30","1,807.69","1,817.98","1,801.33","-0.12%"
"Nov 26, 2020","1,810.57","1,805.74","1,818.78","1,805.31","0.29%"
"Nov 27, 2020","1,788.13","1,811.09","1,813.81","1,773.93","-1.24%"
"Nov 30, 2020","1,777.02","1,789.05","1,789.99","1,764.69","-0.62%"
"Dec 01, 2020","1,814.87","1,777.40","1,817.55","1,775.52","2.13%"
"Dec 02, 2020","1,831.01","1,815.19","1,832.65","1,806.99","0.89%"
"Dec 03, 2020","1,840.36","1,831.34","1,844.45","1,823.60","0.51%"
"Dec 04, 2020","1,837.61","1,841.05","1,848.26","1,829.30","-0.15%"
"Dec 07, 2020","1,863.69","1,837.99","1,868.76","1,822.99","1.42%"
"Dec 08, 2020","1,871.36","1,863.55","1,875.79","1,859.83","0.41%"
"Dec 09, 2020","1,839.11","1,871.19","1,871.37","1,825.71","-1.72%"
"Dec 10, 2020","1,835.31","1,839.59","1,850.40","1,828.48","-0.21%"
"Dec 11, 2020","1,839.03","1,835.55","1,847.89","1,824.23","0.20%"
"Dec 14, 2020","1,827.17","1,839.30","1,839.86","1,819.92","-0.64%"
"Dec 15, 2020","1,853.46","1,827.80","1,855.76","1,825.29","1.44%"
"Dec 16, 2020","1,864.15","1,853.94","1,866.20","1,844.75","0.58%"
"Dec 17, 2020","1,885.87","1,864.26","1,896.26","1,861.83","1.17%"
"Dec 18, 2020","1,880.66","1,885.80","1,889.88","1,876.97","-0.28%"
"Dec 21, 2020","1,876.21","1,883.20","1,906.93","1,856.69","-0.24%"
"Dec 22, 2020","1,859.56","1,876.65","1,884.61","1,858.73","-0.89%"
"Dec 23, 2020","1,872.08","1,859.99","1,878.59","1,858.59","0.67%"
"Dec 24, 2020","1,876.56","1,872.74","1,882.55","1,869.52","0.24%"
"Dec 25, 2020","1,875.82","1,877.07","1,877.07","1,877.07","-0.04%"
"Dec 28, 2020","1,871.19","1,885.93","1,900.53","1,869.21","-0.25%"
"Dec 29, 2020","1,877.99","1,872.24","1,886.91","1,870.99","0.36%"
"Dec 30, 2020","1,893.37","1,878.34","1,894.06","1,875.66","0.82%"
"Dec 31, 2020","1,896.49","1,893.55","1,901.26","1,884.77","0.16%"
"Jan 01, 2021","1,898.10","1,897.69","1,899.12","1,897.39","0.09%"
"Jan 04, 2021","1,942.28","1,906.05","1,944.65","1,905.36","2.33%"
"Jan 05, 2021","1,949.35","1,942.65","1,953.17","1,934.08","0.36%"
"Jan 06, 2021","1,918.81","1,950.30","1,959.60","1,901.11","-1.57%"
"Jan 07, 2021","1,912.50","1,919.40","1,927.97","1,906.86","-0.33%"
"Jan 08, 2021","1,848.26","1,912.90","1,917.85","1,828.74","-3.36%"
"Jan 11, 2021","1,844.66","1,849.34","1,857.05","1,817.14","-0.19%"
"Jan 12, 2021","1,855.63","1,845.34","1,864.08","1,837.41","0.59%"
"Jan 13, 2021","1,843.41","1,856.19","1,863.26","1,843.34","-0.66%"
"Jan 14, 2021","1,846.37","1,843.94","1,857.59","1,833.21","0.16%"
"Jan 15, 2021","1,826.59","1,846.80","1,856.85","1,823.21","-1.07%"
"Jan 18, 2021","1,836.89","1,828.94","1,840.95","1,810.46","0.56%"
"Jan 19, 2021","1,839.34","1,838.09","1,845.98","1,833.06","0.13%"
"Jan 20, 2021","1,870.91","1,840.05","1,872.03","1,832.46","1.72%"
"Jan 21, 2021","1,869.91","1,871.07","1,875.45","1,858.16","-0.05%"
"Jan 22, 2021","1,852.55","1,870.09","1,871.17","1,837.09","-0.93%"
"Jan 25, 2021","1,854.99","1,855.75","1,868.45","1,847.30","0.13%"
"Jan 26, 2021","1,850.31","1,855.55","1,861.86","1,848.36","-0.25%"
"Jan 27, 2021","1,843.99","1,850.65","1,853.58","1,831.29","-0.34%"
"Jan 28, 2021","1,840.36","1,844.34","1,864.26","1,833.81","-0.20%"
"Jan 29, 2021","1,846.09","1,840.90","1,876.03","1,839.56","0.31%"
"Feb 01, 2021","1,860.16","1,863.05","1,871.84","1,849.04","0.76%"
"Feb 02, 2021","1,837.35","1,860.84","1,864.26","1,829.46","-1.23%"
"Feb 03, 2021","1,833.76","1,837.49","1,845.29","1,829.49","-0.20%"
"Feb 04, 2021","1,792.26","1,834.34","1,835.13","1,785.15","-2.26%"
"Feb 05, 2021","1,811.62","1,792.49","1,815.32","1,791.80","1.08%"
"Feb 08, 2021","1,830.16","1,815.44","1,839.15","1,807.48","1.02%"
"Feb 09, 2021","1,837.06","1,830.59","1,849.15","1,828.63","0.38%"
"Feb 10, 2021","1,842.22","1,837.55","1,855.70","1,833.91","0.28%"
"Feb 11, 2021","1,825.36","1,842.65","1,847.95","1,820.63","-0.91%"
"Feb 12, 2021","1,823.46","1,825.90","1,830.80","1,810.33","-0.10%"
"Feb 15, 2021","1,818.51","1,825.34","1,827.59","1,815.71","-0.27%"
"Feb 16, 2021","1,794.31","1,819.34","1,826.75","1,789.19","-1.33%"
"Feb 17, 2021","1,776.26","1,794.65","1,795.45","1,769.27","-1.01%"
"Feb 18, 2021","1,775.49","1,776.69","1,789.88","1,767.98","-0.04%"
"Feb 19, 2021","1,782.31","1,776.19","1,791.70","1,760.13","0.38%"
"Feb 22, 2021","1,808.66","1,782.24","1,812.76","1,780.46","1.48%"
"Feb 23, 2021","1,805.06","1,809.09","1,816.27","1,795.78","-0.20%"
"Feb 24, 2021","1,804.36","1,805.34","1,813.99","1,783.30","-0.04%"
"Feb 25, 2021","1,769.88","1,804.80","1,806.06","1,765.44","-1.91%"
"Feb 26, 2021","1,733.49","1,770.49","1,776.10","1,717.26","-2.06%"
"Mar 01, 2021","1,723.84","1,733.40","1,760.02","1,719.52","-0.56%"
"Mar 02, 2021","1,738.09","1,724.10","1,738.89","1,707.18","0.83%"
"Mar 03, 2021","1,710.95","1,738.59","1,740.85","1,701.94","-1.56%"
"Mar 04, 2021","1,697.19","1,711.84","1,723.34","1,690.64","-0.80%"
"Mar 05, 2021","1,700.86","1,698.59","1,707.76","1,687.12","0.22%"
"Mar 08, 2021","1,681.24","1,702.80","1,714.45","1,676.70","-1.15%"
"Mar 09, 2021","1,715.36","1,682.55","1,720.83","1,679.80","2.03%"
"Mar 10, 2021","1,726.05","1,715.94","1,726.76","1,707.99","0.62%"
"Mar 11, 2021","1,721.41","1,726.55","1,739.99","1,719.38","-0.27%"
"Mar 12, 2021","1,726.41","1,721.59","1,728.42","1,698.85","0.29%"
"Mar 15, 2021","1,731.84","1,727.74","1,734.99","1,721.31","0.31%"
"Mar 16, 2021","1,730.94","1,730.57","1,741.40","1,725.80","-0.05%"
"Mar 17, 2021","1,744.44","1,730.61","1,751.81","1,724.14","0.78%"
"Mar 18, 2021","1,736.41","1,745.09","1,755.59","1,719.05","-0.46%"
"Mar 19, 2021","1,744.74","1,735.90","1,746.88","1,728.04","0.48%"
"Mar 22, 2021","1,738.69","1,745.74","1,747.18","1,727.40","-0.35%"
"Mar 23, 2021","1,726.94","1,739.05","1,742.85","1,724.42","-0.68%"
"Mar 24, 2021","1,734.19","1,727.80","1,738.56","1,723.85","0.42%"
"Mar 25, 2021","1,726.82","1,735.65","1,745.95","1,721.84","-0.42%"
"Mar 26, 2021","1,731.97","1,727.30","1,737.01","1,721.23","0.30%"
"Mar 29, 2021","1,711.99","1,732.15","1,733.34","1,705.58","-1.15%"
"Mar 30, 2021","1,684.80","1,712.55","1,714.74","1,678.85","-1.59%"
"Mar 31, 2021","1,707.01","1,685.59","1,715.28","1,677.93","1.32%"
"Apr 01, 2021","1,730.18","1,708.09","1,730.80","1,705.42","1.36%"
"Apr 02, 2021","1,728.84","1,730.47","1,732.55","1,728.67","-0.08%"
"Apr 05, 2021","1,728.44","1,728.74","1,733.75","1,721.22","-0.02%"
"Apr 06, 2021","1,743.57","1,728.49","1,745.68","1,726.82","0.88%"
"Apr 07, 2021","1,737.28","1,742.96","1,744.57","1,730.13","-0.36%"
"Apr 08, 2021","1,755.94","1,737.84","1,759.13","1,732.99","1.07%"
"Apr 09, 2021","1,743.10","1,756.54","1,757.47","1,731.09","-0.73%"
"Apr 12, 2021","1,732.51","1,743.80","1,745.36","1,727.18","-0.61%"
"Apr 13, 2021","1,743.83","1,732.59","1,749.23","1,723.27","0.65%"
"Apr 14, 2021","1,736.00","1,744.30","1,749.58","1,732.13","-0.45%"
"Apr 15, 2021","1,763.21","1,737.10","1,769.91","1,734.10","1.57%"
